Orden;Prog.;Maquina;Turno;Notificado;Fecha
20:50;O2918;W1;2;FALSO;12/10/2021
20:55;O2918;W1;2;FALSO;12/10/2021
21:00;O3000;W1;2;FALSO;12/10/2021
21:05;O2909;W1;2;FALSO;12/10/2021
21:10;O2909;W1;2;FALSO;12/10/2021
21:15;O2918;W1;2;FALSO;12/10/2021
21:20;O2918;W1;2;FALSO;12/10/2021
21:25;O3000;W1;2;FALSO;12/10/2021
21:30;O2909;W1;2;FALSO;12/10/2021
21:35;O2909;W1;2;FALSO;12/10/2021
21:40;O2918;W1;2;FALSO;12/10/2021
21:45;O2918;W1;2;FALSO;12/10/2021
20:50;O2918;W2;2;FALSO;12/10/2021
20:55;O2918;W2;2;FALSO;12/10/2021
21:00;O3000;W2;2;FALSO;12/10/2021
21:05;O2909;W2;2;FALSO;12/10/2021
21:10;O2909;W2;2;FALSO;12/10/2021
21:15;O2918;W2;2;FALSO;12/10/2021
21:20;O2918;W2;2;FALSO;12/10/2021
21:25;O3000;W2;2;FALSO;12/10/2021
21:30;O2909;W2;2;FALSO;12/10/2021
21:35;O2909;W2;2;FALSO;12/10/2021
21:40;O2918;W2;2;FALSO;12/10/2021
21:45;O2918;W2;2;FALSO;12/10/2021
20:50;O2918;W3;2;FALSO;12/10/2021
20:55;O2918;W3;2;FALSO;12/10/2021
21:00;O3000;W3;2;FALSO;12/10/2021
21:05;O2909;W3;2;FALSO;12/10/2021
21:10;O2909;W3;2;FALSO;12/10/2021
21:15;O2918;W3;2;FALSO;12/10/2021
21:20;O2918;W3;2;FALSO;12/10/2021
21:25;O3000;W3;2;FALSO;12/10/2021
21:30;O2909;W3;2;FALSO;12/10/2021
21:35;O2909;W3;2;FALSO;12/10/2021
21:40;O2918;W3;2;FALSO;12/10/2021
21:45;O2918;W3;2;FALSO;12/10/2021
20:50;O2918;W4;2;FALSO;12/10/2021
20:55;O2918;W4;2;FALSO;12/10/2021
21:00;O3000;W4;2;FALSO;12/10/2021
21:05;O2909;W4;2;FALSO;12/10/2021
21:10;O2909;W4;2;FALSO;12/10/2021
21:15;O2918;W4;2;FALSO;12/10/2021
21:20;O2918;W4;2;FALSO;12/10/2021
21:25;O3000;W4;2;FALSO;12/10/2021
21:30;O2909;W4;2;FALSO;12/10/2021
21:35;O2909;W4;2;FALSO;12/10/2021
21:40;O2918;W4;2;FALSO;12/10/2021
21:45;O2918;W4;2;FALSO;12/10/2021
20:50;O2918;W5;2;FALSO;12/10/2021
20:55;O2918;W5;2;FALSO;12/10/2021
21:00;O3000;W5;2;FALSO;12/10/2021
21:05;O2909;W5;2;FALSO;12/10/2021
21:10;O2909;W5;2;FALSO;12/10/2021
21:15;O2918;W5;2;FALSO;12/10/2021
21:20;O2918;W5;2;FALSO;12/10/2021
21:25;O3000;W5;2;FALSO;12/10/2021
21:30;O2909;W5;2;FALSO;12/10/2021
21:35;O2909;W5;2;FALSO;12/10/2021
21:40;O2918;W5;2;FALSO;12/10/2021
21:45;O2918;W5;2;FALSO;12/10/2021
